cell_id,region,pre_nir,pre_swir2,post_nir,post_swir2,cloud_pre,cloud_post
n01,north,0.70,0.10,0.20,0.50,false,false
n02,north,0.60,0.20,0.25,0.35,false,false
n03,north,0.55,0.25,0.32,0.38,false,false
n04,north,0.50,0.30,0.40,0.30,false,false
n05,north,0.45,0.35,0.45,0.35,false,false
n06,north,0.62,0.18,0.20,0.52,true,false
s01,south,0.58,0.22,0.30,0.40,false,false
s02,south,0.52,0.28,0.38,0.32,false,false
s03,south,0.48,0.32,0.43,0.34,false,false
s04,south,0.44,0.36,0.46,0.34,false,false
s05,south,0.66,0.14,0.24,0.46,false,false
s06,south,0.50,0.30,0.35,0.35,false,true

