date,precip_mm,pet_mm,qobs_mm
2020-01-01,0.000,1.536,1.3500
2020-01-02,0.000,1.560,1.2797
2020-01-03,5.186,1.585,1.4574
2020-01-04,12.659,1.610,2.1761
2020-01-05,2.144,1.636,2.1681
2020-01-06,0.000,1.663,2.0205
2020-01-07,0.000,1.690,1.8004
2020-01-08,20.072,1.717,3.0685
2020-01-09,4.505,1.745,3.2031
2020-01-10,0.000,1.772,2.9294
2020-01-11,1.142,1.800,2.6186
2020-01-12,0.000,1.828,2.4726
2020-01-13,9.197,1.855,2.9674
2020-01-14,0.000,1.883,2.6706
2020-01-15,0.000,1.910,2.4169
2020-01-16,0.000,1.937,2.3118
2020-01-17,5.682,1.964,2.5037
2020-01-18,13.531,1.990,3.1373
2020-01-19,2.233,2.015,2.9595
2020-01-20,0.000,2.040,2.8422
2020-01-21,0.000,2.064,2.6133
2020-01-22,19.334,2.087,7.9764
2020-01-23,4.229,2.109,3.3116
2020-01-24,0.000,2.131,3.1620
2020-01-25,1.021,2.151,2.8575
2020-01-26,0.000,2.170,2.5747
2020-01-27,7.870,2.188,2.9418
2020-01-28,0.000,2.205,2.7702
2020-01-29,0.000,2.221,2.4749
2020-01-30,0.000,2.235,2.2682
2020-01-31,4.571,2.248,2.4152
2020-02-01,10.795,2.260,2.9437
2020-02-02,1.773,2.270,2.6452
2020-02-03,0.000,2.279,2.4720
2020-02-04,0.000,2.286,2.3666
2020-02-05,15.452,2.292,3.2006
2020-02-06,3.413,2.296,3.0136
2020-02-07,0.000,2.299,2.8637
2020-02-08,0.850,2.300,2.7093
2020-02-09,0.000,2.300,2.4265
2020-02-10,6.849,2.298,2.6045
2020-02-11,0.000,2.294,2.4985
2020-02-12,0.000,2.289,2.3227
2020-02-13,0.000,2.283,2.0693
2020-02-14,4.471,2.275,2.1443
2020-02-15,10.899,2.266,2.7795
2020-02-16,1.848,2.255,2.5648
2020-02-17,0.000,2.242,2.2953
2020-02-18,0.000,2.229,2.1719
2020-02-19,17.575,2.214,3.3038
2020-02-20,3.980,2.198,3.1589
2020-02-21,0.000,2.180,2.8650
2020-02-22,1.032,2.162,2.7434
2020-02-23,0.000,2.142,2.5642
2020-02-24,8.540,2.121,2.8143
2020-02-25,0.000,2.099,2.6005
2020-02-26,0.000,2.077,2.4969
2020-02-27,0.000,2.053,2.2901
2020-02-28,5.617,2.029,2.3596
2020-02-29,13.597,2.004,3.1390
2020-03-01,2.281,1.978,3.0695
2020-03-02,0.000,1.952,2.7685
2020-03-03,0.000,1.925,2.4993
2020-03-04,20.699,1.898,9.5126
2020-03-05,4.594,1.871,3.4550
2020-03-06,0.000,1.843,3.0815
2020-03-07,1.138,1.815,2.8313
2020-03-08,0.000,1.787,2.7192
2020-03-09,8.958,1.760,3.1025
2020-03-10,0.000,1.732,2.7659

